State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,11:00,11/9/2018,19:00,88,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,12:00,11/9/2018,20:00,84,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,13:00,11/9/2018,21:00,53,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,14:00,11/9/2018,22:00,26,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,15:00,11/9/2018,23:00,31,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,16:00,11/10/2018,0:00,31,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,17:00,11/10/2018,1:00,29,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,18:00,11/10/2018,2:00,24,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,19:00,11/10/2018,3:00,43,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,20:00,11/10/2018,4:00,54,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,21:00,11/10/2018,5:00,49,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,22:00,11/10/2018,6:00,45,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,11/9/2018,23:00,11/10/2018,7:00,91,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,0:00,11/9/2018,8:00,43,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,1:00,11/9/2018,9:00,111,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,2:00,11/9/2018,10:00,78,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,3:00,11/9/2018,11:00,26,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,4:00,11/9/2018,12:00,12,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,5:00,11/9/2018,13:00,9,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,6:00,11/9/2018,14:00,18,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,7:00,11/9/2018,15:00,27,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,8:00,11/9/2018,16:00,12,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,11/9/2018,9:00,11/9/2018,17:00,42,Micrograms/cubic meter (LC),5,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,1/28/2019
